prefecture_id,ordinance_designated_city_id,name,slug,jis_code,bounding_box
40,,太宰府市,dazaifushi,40221,"130.48304800,33.47047200 130.57226200,33.55641000"
40,,古賀市,kogashi,40223,"130.44717800,33.68701400 130.55920200,33.75380300"
40,,福津市,fukutsushi,40224,"130.44205500,33.73066100 130.55527400,33.85230400"
40,,うきは市,ukihashi,40225,"130.71825700,33.25542700 130.86799300,33.37312000"
40,,宮若市,miyawakashi,40226,"130.53976600,33.63812100 130.71522600,33.79105900"
40,,嘉麻市,kama-shi,40227,"130.66248200,33.47110100 130.81756200,33.62455900"
40,,朝倉市,asakurashi,40228,"130.61559300,33.34356600 130.86181900,33.49945600"
40,,みやま市,miyamashi,40229,"130.41069700,33.07147200 130.56579100,33.18480900"
40,,糸島市,itoshimashi,40230,"129.98182900,33.46528500 130.29215000,33.69023600"
40,,那珂川市,nakagawashi,40231,"130.37098400,33.39500200 130.46628000,33.53031700"
40,,糟屋郡宇美町,kasuyagunumimachi,40341,"130.48563600,33.52973900 130.58424900,33.59366600"
40,,糟屋郡篠栗町,kasuyagunsasagurimachi,40342,"130.49603500,33.59539300 130.60030300,33.66565600"
40,,糟屋郡志免町,kasuyagunshimemachi,40343,"130.44220600,33.56031200 130.50094000,33.61012700"
40,,糟屋郡須惠町,kasuyagunsuemachi,40344,"130.48841400,33.57546700 130.56273000,33.61528400"
40,,糟屋郡新宮町,kasuyagunshinguumachi,40345,"130.35922200,33.67348600 130.50941100,33.76719700"
40,,糟屋郡久山町,kasuyagunhisayamamachi,40348,"130.46703600,33.63403000 130.56239600,33.71111400"
40,,糟屋郡粕屋町,kasuyagunkasuyamachi,40349,"130.44117900,33.59282300 130.50021800,33.63670600"
40,,遠賀郡芦屋町,ongagunashiyamachi,40381,"130.63578700,33.86876200 130.68552000,33.91900500"
40,,遠賀郡水巻町,ongagummizumakimachi,40382,"130.67667100,33.82995400 130.72109700,33.89080000"
40,,遠賀郡岡垣町,ongagunokagakimachi,40383,"130.54141500,33.81281800 130.65285700,33.89107400"
40,,遠賀郡遠賀町,ongagunongachou,40384,"130.63529700,33.80872000 130.69133500,33.89035300"
40,,鞍手郡小竹町,kurategunkotakemachi,40401,"130.67086100,33.68209500 130.72821200,33.73234200"
40,,鞍手郡鞍手町,kurategunkuratemachi,40402,"130.63310500,33.73965400 130.70734500,33.82160900"
40,,嘉穂郡桂川町,kahogunkeisemmachi,40421,"130.64983600,33.52903500 130.70526100,33.60258200"
40,,朝倉郡筑前町,asakuragunchikuzemmachi,40447,"130.56104500,33.40483300 130.66895700,33.51085200"
40,,朝倉郡東峰村,asakuraguntouhoumura,40448,"130.76471700,33.37344400 130.90064300,33.48965900"
40,,三井郡大刀洗町,miiguntachiaraimachi,40503,"130.57782900,33.35286100 130.66664500,33.41358800"
40,,三潴郡大木町,mizumagunookimachi,40522,"130.41296900,33.18112800 130.46393900,33.24522400"
40,,八女郡広川町,yamegunhirokawamachi,40544,"130.50843100,33.22993000 130.63084300,33.28621600"
40,,田川郡香春町,tagawagunkawaramachi,40601,"130.82177400,33.63978600 130.88981700,33.73638100"
40,,田川郡添田町,tagawagunsoedamachi,40602,"130.80943300,33.44675000 130.94955700,33.59217000"
40,,田川郡糸田町,tagawagunitodamachi,40604,"130.74982900,33.63936100 130.79383300,33.67483500"
40,,田川郡川崎町,tagawagunkawasakimachi,40605,"130.78510200,33.50988200 130.84139800,33.62428400"
40,,田川郡大任町,tagawagunootoumachi,40608,"130.83229200,33.58105000 130.87097200,33.64629400"
40,,田川郡赤村,tagawagunakamura,40609,"130.85611200,33.55786700 130.92319200,33.65192400"
40,,田川郡福智町,tagawagunfukuchimachi,40610,"130.74382900,33.66402500 130.83111500,33.74230500"
40,,京都郡苅田町,miyakogunkandamachi,40621,"130.90949200,33.73553500 131.04177300,33.83559800"
40,,京都郡みやこ町,miyakogummiyakomachi,40625,"130.86755200,33.48760300 131.01040900,33.74427300"
40,,築上郡吉富町,chikujougunyoshitomimachi,40642,"131.15285800,33.58753600 131.18636900,33.62269800"
40,,築上郡上毛町,chikujougunkougemachi,40646,"131.06772900,33.50172800 131.19069000,33.59877000"
40,,築上郡築上町,chikujougunchikujoumachi,40647,"130.96064100,33.50753900 131.08666500,33.69051500"
41,,佐賀市,sagashi,41201,"130.13934600,33.14180300 130.37912400,33.48195300"
41,,唐津市,karatsushi,41202,"129.73959400,33.27740400 130.17061700,33.61890400"
41,,鳥栖市,tosushi,41203,"130.43712100,33.32553500 130.54227300,33.42842700"
41,,多久市,takushi,41204,"130.02214200,33.23430500 130.18283400,33.33965100"
41,,伊万里市,imarishi,41205,"129.75880100,33.22339100 130.02530400,33.41264000"
41,,武雄市,take-oshi,41206,"129.89742200,33.10797900 130.10329900,33.28316100"
41,,鹿島市,kashima-shi,41207,"130.03779800,32.98588600 130.17020500,33.13163300"
41,,小城市,ogishi,41208,"130.13655700,33.19353100 130.24449400,33.34233600"
41,,嬉野市,ureshinoshi,41209,"129.92228400,33.00396500 130.08798600,33.17225200"
41,,神埼市,kanzakishi,41210,"130.27373600,33.24010400 130.41958300,33.44521200"
41,,神埼郡吉野ヶ里町,kanzakigunyoshinogarichou,41327,"130.36481200,33.28301500 130.42017700,33.42824200"
41,,三養基郡基山町,miyakigunkiyamachou,41341,"130.46279500,33.39422500 130.54177200,33.44955300"
41,,三養基郡上峰町,miyakigunkamiminechou,41345,"130.40557900,33.29626800 130.44278200,33.37992900"
41,,三養基郡みやき町,miyakigummiyakichou,41346,"130.40076400,33.26377100 130.48972500,33.40123900"
41,,東松浦郡玄海町,higashimatsuuragungenkaichou,41387,"129.82779300,33.43072600 129.90496900,33.51963600"
41,,西松浦郡有田町,nishimatsuuragunaritachou,41401,"129.80697400,33.15606100 129.93840100,33.24169700"
41,,杵島郡大町町,kishimagunoomachichou,41423,"130.08867400,33.19612700 130.13777400,33.23940100"
41,,杵島郡江北町,kishimagunkouhokumachi,41424,"130.12461400,33.18852700 130.20154000,33.25404800"
41,,杵島郡白石町,kishimagunshiroishichou,41425,"130.06931300,33.11205200 130.23232000,33.21056400"
41,,藤津郡太良町,fujitsuguntarachou,41441,"130.07631700,32.95054000 130.22570000,33.05107200"
42,,長崎市,nagasaki-shi,42201,"129.55280500,32.54915800 129.99380800,32.96865500"
42,,佐世保市,saseboshi,42202,"129.05587100,33.04998500 129.87305700,33.34332800"
42,,島原市,shimabarashi,42203,"130.27262600,32.73692800 130.38370800,32.86725700"
42,,諫早市,isahayashi,42204,"129.88564700,32.75168700 130.20446700,32.97569200"
42,,大村市,oomurashi,42205,"129.90027400,32.84475700 130.08683700,33.00425000"
42,,平戸市,hiradoshi,42207,"129.33154900,33.16870600 129.63334900,33.61068700"
42,,松浦市,matsuurashi,42208,"129.62895000,33.26642100 129.85986600,33.47053700"
42,,対馬市,tsushimashi,42209,"129.16451300,34.08389900 129.49793000,34.72436200"
42,,壱岐市,ikishi,42210,"129.62352300,33.69854800 129.91903800,33.87141500"
42,,五島市,goto-shi,42211,"128.34359300,31.98644600 129.00775300,32.89639900"
42,,西海市,saikaishi,42212,"129.22197500,32.89565800 129.82486300,33.09983500"
42,,雲仙市,unzenshi,42213,"130.12554400,32.65592600 130.31979800,32.88127400"
42,,南島原市,minamishimabarashi,42214,"130.12671800,32.59053000 130.37302200,32.75034400"
42,,西彼杵郡長与町,nishisonogigunnagayochou,42307,"129.84622000,32.79608400 129.92416400,32.89575500"
42,,西彼杵郡時津町,nishisonogiguntogitsuchou,42308,"129.79107600,32.80964200 129.86851300,32.89187500"
42,,東彼杵郡東彼杵町,higashisonogigunhigashisonogichou,42321,"129.87612500,32.98298600 130.04274800,33.09067500"
42,,東彼杵郡川棚町,higashisonogigunkawatanachou,42322,"129.80344300,33.03573600 129.92676900,33.10973000"
42,,東彼杵郡波佐見町,higashisonogigunhasamichou,42323,"129.84335300,33.10044600 129.95675400,33.16566400"
42,,北松浦郡小値賀町,kitamatsuuragunodikachou,42383,"128.89390500,33.14986200 129.14371600,33.22817100"
42,,北松浦郡佐々町,kitamatsuuragunsazachou,42391,"129.62202200,33.20729100 129.69157700,33.27903900"
42,,南松浦郡新上五島町,minamimatsuuragunshinkamigotouchou,42411,"128.93006200,32.81302600 129.19752400,33.16423000"
43,22,熊本市中央区,kumamotoshichuuouku,43101,"130.68585400,32.76925700 130.76389300,32.83042800"
43,22,熊本市東区,kumamotoshihigashiku,43102,"130.72772000,32.74978000 130.82896700,32.85482200"
43,22,熊本市西区,kumamotoshinishiku,43103,"130.57146500,32.75275400 130.71091800,32.86364500"
43,22,熊本市南区,kumamotoshiminamiku,43104,"130.60271800,32.66028900 130.77799700,32.77963400"
43,22,熊本市北区,kumamotoshikitaku,43105,"130.63438800,32.81915200 130.79037000,32.97998000"
43,,八代市,yatsushiroshi,43202,"130.49051900,32.33867800 131.02598000,32.60086500"
43,,人吉市,hitoyoshishi,43203,"130.65173300,32.09495000 130.87801200,32.29540500"
43,,荒尾市,araoshi,43204,"130.41391800,32.93666900 130.53078900,33.01219500"
43,,水俣市,minamatashi,43205,"130.35999400,32.11291900 130.59659800,32.23817400"
43,,玉名市,tama-nashi,43206,"130.47570900,32.84213700 130.63156900,32.99513900"
43,,山鹿市,yamagashi,43208,"130.62953100,32.93148200 130.84583400,33.17141000"
43,,菊池市,kikuchi-shi,43210,"130.72807500,32.90151400 130.97078000,33.09556900"
43,,宇土市,utoshi,43211,"130.49857500,32.64633100 130.71722500,32.71697000"
43,,上天草市,kamiamakusashi,43212,"130.30482400,32.36679000 130.48718800,32.62585400"
43,,宇城市,ukishi,43213,"130.44666800,32.55885700 130.78280800,32.68118300"
43,,阿蘇市,asoshi,43214,"130.94301100,32.87453200 131.25354700,33.04591300"
43,,天草市,amakusashi,43215,"129.96324600,32.14399600 130.39206700,32.55366100"
43,,合志市,ko-shishi,43216,"130.72021600,32.85138900 130.84704000,32.92752900"
43,,下益城郡美里町,shimomashikigummisatomachi,43348,"130.77419700,32.56104000 130.97711100,32.66493600"
43,,玉名郡玉東町,tamanagungyokutoumachi,43364,"130.60596900,32.86086800 130.65143300,32.94446800"
43,,玉名郡南関町,tamanagunnankammachi,43367,"130.49486600,32.98839900 130.60211700,33.08699000"
43,,玉名郡長洲町,tamanagunnagasumachi,43368,"130.43774400,32.90039900 130.49837500,32.95269000"
